ADRESS, PORT, STATUS, SERVICE, VERSION, CVE, IMPACT
172.128.24.5
,53/tcp,open,domain,dnsmasq,,
,,,,,CVE-2017-15107,5.0
,80/tcp,open,http,,,
,113/tcp,closed,ident,,,
,135/tcp,closed,msrpc,,,
,139/tcp,open,netbios-ssn,Samba,,
,443/tcp,open,ssl/https,,,
,445/tcp,open,netbios-ssn,Samba,,
,631/tcp,open,ipp,CUPS,,
,,,,,CVE-2008-0053,10.0
,,,,,CVE-2008-3641,10.0
,,,,,CVE-2008-5184,10.0
,,,,,CVE-2010-2941,7.9
,,,,,CVE-2008-5286,7.5
,,,,,CVE-2008-3639,7.5
,,,,,CVE-2009-0163,6.8
,,,,,CVE-2010-0542,6.8
,,,,,CVE-2008-3640,6.8
,,,,,CVE-2009-0164,6.4
,,,,,CVE-2011-3170,5.1
,,,,,CVE-2011-2896,5.1
,,,,,CVE-2009-0949,5.0
,,,,,CVE-2010-2432,5.0
,,,,,CVE-2017-18190,5.0
,,,,,CVE-2014-2856,4.3
,,,,,CVE-2008-5183,4.3
,,,,,CVE-2018-4300,4.3
,,,,,CVE-2010-1748,4.3
,,,,,CVE-2017-18248,3.5
,,,,,CVE-2010-2431,2.6
,49152/tcp,open,upnp,Cisco-Linksys,,
,49153/tcp,open,upnp,Cisco-Linksys,,
